Event, Time (sec), Component, Event Property,Value
338,770.59575, , id=0x0001, 0x00000001 0x0000001A
339,771.08549, , id=0x0001, 0x00000001 0x0000001A
340,771.575256, , id=0x0001, 0x00000001 0x0000001A
341,772.064962, , id=0x0001, 0x00000001 0x0000001A
342,772.61325, , id=0x0001, 0x00000001 0x0000001A
343,773.103002, , id=0x0001, 0x00000001 0x0000001A
344,773.59323, , id=0x0001, 0x00000001 0x0000001A
345,774.08297, , id=0x0001, 0x00000001 0x0000001A
346,774.572608, , id=0x0001, 0x00000001 0x0000001A
347,775.120502, , id=0x0001, 0x00000001 0x0000001A
348,775.61023, , id=0x0001, 0x00000001 0x0000001A
349,776.09997, , id=0x0001, 0x00000001 0x0000001A
350,776.58971, , id=0x0001, 0x00000001 0x0000001A
351,777.07995, , id=0x0001, 0x00000001 0x0000001A
352,777.569588, , id=0x0001, 0x00000001 0x0000001A
353,778.11747, , id=0x0001, 0x00000001 0x0000001A
354,778.60721, , id=0x0001, 0x00000001 0x0000001A
355,779.09695, , id=0x0001, 0x00000001 0x0000001A
356,779.58669, , id=0x0001, 0x00000001 0x0000001A
357,780.076474, , id=0x0001, 0x00000001 0x0000001A
358,780.566162, , id=0x0001, 0x00000001 0x0000001A
359,781.11395, , id=0x0001, 0x00000001 0x0000001A
360,781.603694, , id=0x0001, 0x00000001 0x0000001A
361,782.09343, , id=0x0001, 0x00000001 0x0000001A
362,782.583174, , id=0x0001, 0x00000001 0x0000001A
363,783.07282, , id=0x0001, 0x00000001 0x0000001A
364,783.62069, , id=0x0001, 0x00000001 0x0000001A
365,784.11093, , id=0x0001, 0x00000001 0x0000001A
366,784.60117, , id=0x0001, 0x00000001 0x0000001A
367,785.09141, , id=0x0001, 0x00000001 0x0000001A
368,785.58115, , id=0x0001, 0x00000001 0x0000001A
369,786.070288, , id=0x0001, 0x00000001 0x0000001A
370,786.61769, , id=0x0001, 0x00000001 0x0000001A
371,787.10643, , id=0x0001, 0x00000001 0x0000001F
372,787.59567, , id=0x0001, 0x00000001 0x0000001F
373,788.08441, , id=0x0001, 0x00000001 0x0000001F
374,788.573682, , id=0x0001, 0x00000001 0x0000001F
375,789.12043, , id=0x0001, 0x00000001 0x0000001F
376,789.60917, , id=0x0001, 0x00000001 0x0000001A
377,790.09791, , id=0x0001, 0x00000001 0x0000001A
378,790.58665, , id=0x0001, 0x00000001 0x0000001A
379,791.075408, , id=0x0001, 0x00000001 0x0000001F
380,791.564122, , id=0x0001, 0x00000001 0x0000001F
381,792.11141, , id=0x0001, 0x00000001 0x0000001F
382,792.60015, , id=0x0001, 0x00000001 0x0000001F
383,793.08889, , id=0x0001, 0x00000001 0x0000001F
384,793.577644, , id=0x0001, 0x00000001 0x0000001F
385,794.066362, , id=0x0001, 0x00000001 0x0000001F
386,794.61315, , id=0x0001, 0x00000001 0x0000001F
387,795.10189, , id=0x0001, 0x00000001 0x0000001F
388,795.59063, , id=0x0001, 0x00000001 0x0000001F
389,796.07937, , id=0x0001, 0x00000001 0x0000001F
390,796.568008, , id=0x0001, 0x00000001 0x0000001F
391,797.11539, , id=0x0001, 0x00000001 0x0000001F
392,797.60413, , id=0x0001, 0x00000001 0x0000001F
393,798.092874, , id=0x0001, 0x00000001 0x0000001F
394,798.58161, , id=0x0001, 0x00000001 0x0000001F
395,799.070248, , id=0x0001, 0x00000001 0x0000001F
396,799.61713, , id=0x0001, 0x00000001 0x0000001F
397,800.10587, , id=0x0001, 0x00000001 0x0000001F
398,800.59461, , id=0x0001, 0x00000001 0x0000001F
399,801.08335, , id=0x0001, 0x00000001 0x0000001F
400,801.571988, , id=0x0001, 0x00000001 0x0000001F
401,802.11937, , id=0x0001, 0x00000001 0x0000001F
402,802.60811, , id=0x0001, 0x00000001 0x0000001F
403,803.09685, , id=0x0001, 0x00000001 0x0000001F
404,803.58559, , id=0x0001, 0x00000001 0x0000001F
405,804.07436, , id=0x0001, 0x00000001 0x0000001F
406,804.564062, , id=0x0001, 0x00000001 0x00000024
407,805.11185, , id=0x0001, 0x00000001 0x00000024
408,805.60159, , id=0x0001, 0x00000001 0x00000024
409,806.090346, , id=0x0001, 0x00000001 0x00000024
410,806.58007, , id=0x0001, 0x00000001 0x00000024
411,807.068708, , id=0x0001, 0x00000001 0x00000024
412,807.61559, , id=0x0001, 0x00000001 0x00000024
413,808.10433, , id=0x0001, 0x00000001 0x00000024
414,808.59407, , id=0x0001, 0x00000001 0x00000024
415,809.08281, , id=0x0001, 0x00000001 0x0000001F
416,809.572448, , id=0x0001, 0x00000001 0x00000024
417,810.12083, , id=0x0001, 0x00000001 0x00000024
418,810.61157, , id=0x0001, 0x00000001 0x00000024
419,811.10231, , id=0x0001, 0x00000001 0x00000024
420,811.59305, , id=0x0001, 0x00000001 0x00000024
421,812.08279, , id=0x0001, 0x00000001 0x00000024
422,812.573524, , id=0x0001, 0x00000001 0x00000024
423,813.12131, , id=0x0001, 0x00000001 0x00000024
424,813.61205, , id=0x0001, 0x00000001 0x00000024
425,814.102806, , id=0x0001, 0x00000001 0x00000024
426,814.59253, , id=0x0001, 0x00000001 0x00000024
