Event, Time (sec), Component, Event Property, Value
144, 673.56973800, , id=0x0001, 0x00000000 0x00022E98
145, 674.06972600, , id=0x0001, 0x00000000 0x00023280
146, 674.56974000, , id=0x0001, 0x00000000 0x00023668
147, 675.06973800, , id=0x0001, 0x00000000 0x00023A50
148, 675.56973800, , id=0x0001, 0x00000000 0x00023E38
149, 676.06972600, , id=0x0001, 0x00000000 0x00024220
150, 676.56973800, , id=0x0001, 0x00000000 0x00024608
151, 677.06973800, , id=0x0001, 0x00000000 0x000249F0
152, 677.56970400, , id=0x0001, 0x00000000 0x00024DD8
153, 678.06973800, , id=0x0001, 0x00000000 0x000251C0
154, 678.56969200, , id=0x0001, 0x00000000 0x000255A8
155, 679.06973800, , id=0x0001, 0x00000000 0x00025990
156, 679.56970400, , id=0x0001, 0x00000000 0x00025D78
157, 680.06973800, , id=0x0001, 0x00000000 0x00026160
158, 680.56970400, , id=0x0001, 0x00000000 0x00026548
159, 681.06973800, , id=0x0001, 0x00000000 0x00026930
160, 681.56970400, , id=0x0001, 0x00000000 0x00026D18
161, 682.06973800, , id=0x0001, 0x00000000 0x00027100
162, 682.56969200, , id=0x0001, 0x00000000 0x000274E8
163, 683.06973800, , id=0x0001, 0x00000000 0x000278D0
164, 683.56970400, , id=0x0001, 0x00000000 0x00027CB8
165, 684.06973800, , id=0x0001, 0x00000000 0x000280A0
166, 684.56970400, , id=0x0001, 0x00000000 0x00028488
167, 685.06973800, , id=0x0001, 0x00000000 0x00028870
168, 685.56969200, , id=0x0001, 0x00000000 0x00028C58
169, 686.06973800, , id=0x0001, 0x00000000 0x00029040
170, 686.56970400, , id=0x0001, 0x00000000 0x00029428
171, 687.06973800, , id=0x0001, 0x00000000 0x00029810
172, 687.56970400, , id=0x0001, 0x00000000 0x00029BF8
173, 688.06972600, , id=0x0001, 0x00000000 0x00029FE0
174, 688.56970400, , id=0x0001, 0x00000000 0x0002A3C8
175, 689.06972600, , id=0x0001, 0x00000000 0x0002A7B0
176, 689.56970400, , id=0x0001, 0x00000000 0x0002AB98
177, 690.06973800, , id=0x0001, 0x00000000 0x0002AF80
178, 690.56970400, , id=0x0001, 0x00000000 0x0002B368
179, 691.06972600, , id=0x0001, 0x00000000 0x0002B750
180, 691.56970400, , id=0x0001, 0x00000000 0x0002BB38
181, 692.06973800, , id=0x0001, 0x00000000 0x0002BF20
182, 692.56970400, , id=0x0001, 0x00000000 0x0002C308
183, 693.06973800, , id=0x0001, 0x00000000 0x0002C6F0
184, 693.56972600, , id=0x0001, 0x00000000 0x0002CAD8
185, 694.06970400, , id=0x0001, 0x00000000 0x0002CEC0
186, 694.56973800, , id=0x0001, 0x00000000 0x0002D2A8
187, 695.06970400, , id=0x0001, 0x00000000 0x0002D690
188, 695.56973800, , id=0x0001, 0x00000000 0x0002DA78
189, 696.06970400, , id=0x0001, 0x00000000 0x0002DE60
190, 696.56973800, , id=0x0001, 0x00000000 0x0002E248
191, 697.06970400, , id=0x0001, 0x00000000 0x0002E630
